"Please select a city or district.","Chọn quận/huyện"
"* Required Fields","* Phần bắt buộc"
"Contact Information","Thông tin liên lạc"
Company,Công ty
"Phone Number","Phone Number"
Fax,Fax
Address,Địa chỉ
"Please select a region, state or province.","Vui lòng chọn một khu vực, tiểu bang hoặc tỉnh."
City,City
"Enter the street address","Nhập địa chỉ đường phố"
"Street Address","Địa chỉ đường phố"
"Street Address %1","Địa chỉ đường phố %1"
"This is your default billing address.","Đây là địa chỉ thanh toán mặc định của bạn."
"Use as my default billing address","Sử dụng làm địa chỉ thanh toán mặc định của tôi"
"This is your default shipping address.","Đây là địa chỉ giao hàng mặc định của bạn."
"Use as my default shipping address","Sử dụng làm địa chỉ giao hàng mặc định của tôi"
"Save Address","Lưu địa chỉ"
"Save and update","Lưu và cập nhật"
"Go back","Quay lại"
"Zip/Postal Code is Autofilled","Mã Zip / Mã Bưu điện được Tự động điền"
"City Options","Tùy chọn Thành phố"
"City is Required for","Thành phố là bắt buộc cho"
"Allow to Choose City if It is Optional for Country","Cho phép chọn thành phố nếu nó là tùy chọn cho quốc gia"
City/Province,Thành Phố/Tỉnh thành
Ward,Xã/Phường
"Please select a ward","Chọn phường/xã"
"The shipping address is missing. Please edit the address and try again.","Địa chỉ giao hàng bị thiếu thông tin. Vui lòng chỉnh sữa địa chỉ và thử lại."
